id,name,host_id,neighbourhood,latitude,longitude,room_type,minimum_nights,number_of_reviews,last_review,reviews_per_month,availability_365,y
22,音泊 Ikebukuro Tokyo#101 YAMAHA C3X,135661841,Toshima Ku,35.726490000000005,139.70802,Entire home/apt,1,65,2020-04-05,2.52,32,18625
23,"16★CENTRAL IKEBUKURO,Good Access to all Tokyo|",228327679,Toshima Ku,35.733909999999995,139.70815,Entire home/apt,1,13,2020-01-19,1.52,132,4830
24,JR Hirai Station 3min.Entire building(3 apartments,274125301,Edogawa Ku,35.70548,139.84686000000002,Entire home/apt,2,1,2020-01-18,0.29,319,54975
25,JP traditional house! Max10ppl! Near SensojiTemple,177290475,Katsushika Ku,35.73015,139.84155,Entire home/apt,1,2,2019-11-24,0.26,159,9485
26,Summer SALE 5min to station♪JapaneseRyokan -IN101,120507923,Shinjuku Ku,35.69075,139.6882,Hotel room,1,39,2020-01-23,1.9,356,12691
27,4 mins to Station/3 stations available★G128-5,207693509,Katsushika Ku,35.75045,139.88149,Private room,30,4,2019-12-02,0.19,83,1214
28,Gentle modern apartment 1min to metro Sta. #103,176861296,Shinjuku Ku,35.69919,139.70656,Entire home/apt,3,0,,,180,10330
29,Fashionable apartment close TOKYO SKYTREE ①,187573688,Koto Ku,35.70163,139.81957,Entire home/apt,1,0,,,181,6922
30,Yumi home &SIOS,52047464,Shinjuku Ku,35.70339,139.6959,Entire home/apt,1,0,,,156,17896
31,VIP新宿/Higashi Shinjuku station 3min/Bed size 1.8m,38092840,Shinjuku Ku,35.69882,139.71107,Entire home/apt,2,24,2020-01-20,2.38,0,8799
32,IKEBUKURO North Apt. 3 Min Station/FreeWi-Fi/#202,247956261,Toshima Ku,35.7408,139.71924,Entire home/apt,1,26,2020-03-07,2.25,349,5945
33,【Reasonable Price】最大5名 ◎家族､友達､ｶｯﾌﾟﾙでの贅沢なひとときを★,47345218,Taito Ku,35.716840000000005,139.79058,Entire home/apt,1,0,,,89,37672
34,★Free Wi-Fi★7min walking to Ginza!  2-3h,16406686,Chuo Ku,35.67277,139.77434,Entire home/apt,1,1,2020-04-18,1.0,365,99914
35,Can enjoy cosplay ramen shop☆Ikebukuro8min☆AS485,38975201,Toshima Ku,35.726890000000004,139.70441,Entire home/apt,2,61,2020-02-25,1.61,0,12259
36,JR Nippori|Kiyokawa Bus 2min|☆TatamiRoom☆|Max13|A,287000438,Arakawa Ku,35.72858,139.80234,Entire home/apt,1,49,2020-04-25,1.73,12,17966
37,DoMo J601_4 min walk to East Shinjuku Station,138109993,Shinjuku Ku,35.70016,139.70638,Entire home/apt,1,29,2019-12-27,1.53,186,11971
38,"ｴﾆｰﾛｰﾄﾞ平塚101 · ｴﾆｰﾛｰﾄﾞ平塚101 · 101Togoshi-ginza St,Shinagawa-ku,新築物件,Wifi付,戸越銀座駅",26386727,Shinagawa Ku,35.61503,139.71195,Entire home/apt,3,4,2020-01-03,0.45,308,13039
39,"東京湾民宿旅游度假胜地､東京中心城区距离東京駅迪士尼乐园､皇宫､天空树,都在17分钟左右､超市5分内",293219732,Koto Ku,35.66904,139.83944,Entire home/apt,2,1,2019-11-05,0.17,355,5860
40,501/MAX 5guests/Ryogoku/Asakusa/Skytree/PocketWiFi,150236405,Sumida Ku,35.7024,139.79844,Entire home/apt,1,113,2020-04-26,5.65,156,16649
41,"Uhome Koiwa Apartment2, 503, 1mn walk from station",165921683,Edogawa Ku,35.74165,139.88558,Entire home/apt,1,6,2019-11-12,0.66,0,99990
42,Green Garden 2 rooms ShinjukuSTA KABUKICHO,96361779,Shinjuku Ku,35.7008,139.69933,Entire home/apt,1,83,2020-02-06,3.63,65,21572
43,401NewlyRenovated/Shinjuku6mins/EarlyCheckin/WIFI,99659420,Nakano Ku,35.688190000000006,139.67256,Entire home/apt,1,32,2019-11-10,2.39,90,15946
44,Ran Large Corner Pod *駅徒歩1分*男性専用ﾌﾛｱ(鍵なし),250233906,Chuo Ku,35.68593,139.78142,Private room,1,0,,,0,9898
45,JR YAMANOTE Line Ueno/Shinjuku Directly! MAX 4ppl,261336555,Arakawa Ku,35.73553,139.76877,Private room,1,1,2020-03-08,0.57,329,29938
46,"A quiet home in Suginami, within 20min to Shinjuku",29681737,Suginami Ku,35.70106,139.63334,Entire home/apt,4,1,2020-02-15,0.4,55,3428
47,立地 最高‼  JR新宿駅歩2分(新南口)､地下鉄新宿3丁目駅歩1分(E7出口)､ Wi-Fi 付,67165069,Shinjuku Ku,35.68863,139.70361,Entire home/apt,2,8,2020-02-14,0.71,263,10409
48,A cozy space! Female Only Dormitory,277478303,Taito Ku,35.69951,139.78346000000002,Shared room,1,2,2019-09-03,0.16,207,2137
49,"Small, Cozy and Shining Clean!",128815428,Setagaya Ku,35.628890000000006,139.63332,Private room,2,60,2020-02-10,2.37,328,7408
50,  2020 NEW OPEN Shinjuku STA. 3M Double Room 201,13018876,Shinjuku Ku,35.70154,139.70543999999998,Private room,1,0,,,245,11904
51,R1~Spacious Quiet Rm 8mins to IKEBUKURO/Shinjuku,63719385,Itabashi Ku,35.75864,139.70341000000002,Private room,1,57,2020-03-10,1.28,33,4637
52,[Male Only] RUMa INN NishiSugamo☆2019 opened,223093998,Toshima Ku,35.74238,139.73304,Shared room,1,0,,,248,2057
53,[9PAX]JR 3mins walk/near Shuttle bus stop/WiFi/202,309416441,Toshima Ku,35.72537,139.70952,Entire home/apt,1,39,2020-03-22,2.9,111,25191
54,"Uhome Kanda Hotel, one stop to Tokyo sta. KD301",165921683,Chiyoda Ku,35.69401,139.77258999999998,Entire home/apt,1,83,2020-03-13,3.35,243,900039
55,RUMa INN Rokugoudote ☆Free Wifi,223093998,Ota Ku,35.54247,139.70823,Private room,1,0,,,247,4011
56,120sqm 4LDK 3-Stories House 2BT JR Shin-Okubo 3min,228335576,Shinjuku Ku,35.70267,139.69953,Entire home/apt,2,4,2020-02-13,0.39,133,54928
57,Juyoh Hotel Single Room with High-Bed and Shared B,20957992,Taito Ku,35.72789,139.80154,Private room,1,125,2020-03-17,6.5,337,2996
58,YADOYA Premium Suite No.1 ASAKUSA riverside view,150672186,Taito Ku,35.70738,139.79557,Entire home/apt,1,3,2020-02-09,0.6,271,80105
59,ShinjukuTokyo Treehouse Free Pocket Wifi Certified,38445687,Shinjuku Ku,35.71088,139.71213,Entire home/apt,2,165,2020-03-01,3.57,319,16257
60,Playroom provided for families w/ children!(MAX14),272866336,Katsushika Ku,35.748870000000004,139.82796000000002,Entire home/apt,3,6,2020-03-25,3.21,109,500015
61,Many yummy foods!2mins walk Higashi Shinjuku Sta.,311982980,Shinjuku Ku,35.69848,139.70553999999998,Entire home/apt,1,20,2020-02-15,1.35,260,11558
62,W)最大9名宿泊可能!中野駅徒歩6分!新宿まで電車で4分の好立地!,4838043,Nakano Ku,35.70669,139.66833,Entire home/apt,7,8,2020-04-05,1.34,330,20009
63,Open Sales! Center Of Ginza! 3min walk to station,4799233,Chuo Ku,35.672259999999994,139.76945,Entire home/apt,1,39,2020-01-05,2.37,173,15071
64,Convenient charming house,210041858,Edogawa Ku,35.738209999999995,139.88578,Private room,3,100,2020-02-26,1.62,91,5009
65,NOA302 NEW!5mins to sta/With Wi-Fi/Shinjuku area,261649945,Nakano Ku,35.7196,139.67368000000002,Entire home/apt,1,8,2020-02-14,1.45,260,49900
66,Men only/1min->Narimasu Station/Upper Row Capsule,271539507,Itabashi Ku,35.77789,139.6338,Shared room,1,0,,,82,2865
67,A3【Haneda/Shinagawa】Brand New Studio for 3/WIFI,300847561,Ota Ku,35.57249,139.73529,Entire home/apt,2,26,2020-03-02,2.14,148,11954
68,"Ikebukuro tatami apartment B, public bath, wi-fi",45242929,Toshima Ku,35.73057,139.69806,Entire home/apt,2,144,2020-01-25,3.51,0,4228
69,Shinjuku 2min Shinkubo 3min/Portable wifi / 36㎡,32489578,Shinjuku Ku,35.70279,139.69903,Entire home/apt,2,43,2020-02-20,1.76,0,3268
70,"Shinjuku Backyard, 5 min to St. WIFI.for 4 Guest!",201449327,Shinjuku Ku,35.69545,139.71631000000002,Entire home/apt,29,54,2020-02-12,1.76,178,20210
71,Cozy Vibes |RD| Loft room. Higashi-Shinjuku 5 mins,227093869,Shinjuku Ku,35.70064,139.71107,Entire home/apt,2,3,2020-02-11,0.2,348,10128
72,H107_【Reduction in Price】In Korean Town/MAX6/WIFI,221791431,Shinjuku Ku,35.70208,139.7036,Entire home/apt,1,6,2020-03-12,1.54,104,18094
73,3 minutes on foot from Koenji,60901397,Suginami Ku,35.703790000000005,139.65092,Shared room,1,0,,,90,3489
74,304◇ Ikebukuro Station◇Guest house,320467240,Toshima Ku,35.73469,139.71743,Shared room,1,0,,,365,3103
75,Q2 10mins Shinjuku Private Entire Room ｱｸｾｽ抜群の新宿,100098226,Shinjuku Ku,35.69856,139.68893,Entire home/apt,1,0,,,58,12906
76,清澄GARDEN hotel b,318235422,Koto Ku,35.67713,139.7957,Entire home/apt,1,0,,,89,8179
77,4F14【Men only】5 min to Ueno sta./ capsule hotel,188123234,Taito Ku,35.71555,139.78203,Hotel room,1,0,,,286,50136
78,subway to ikebukuro 2 mins/5mins from sunshinecity,229308728,Toshima Ku,35.7253,139.72378999999998,Entire home/apt,1,45,2020-01-03,1.81,185,11870
79,"SHIMOKITA HOSTEL BU Shibuya3min, Shinjuku8min,",308888017,Setagaya Ku,35.6601,139.66713,Hotel room,1,15,2020-03-01,0.63,260,7725
80,Tokyo Downtown/7 mins Sta./2-4ppl/free wifi @302,28837813,Shinjuku Ku,35.70328,139.70383,Entire home/apt,1,3,2020-02-05,0.7,0,10513
81,Ueno Center/3 minutes walk Ueno Park/free wif/403,273213822,Taito Ku,35.7085,139.77058,Entire home/apt,1,0,,,364,12694
82,"新宿站步行5分钟,三卧室,百货商店电器城4分钟,歌舞伎町10分,浴室卫生间干湿分离,住宅区闹中取静｡",54940859,Shinjuku Ku,35.69443,139.69528,Entire home/apt,2,8,2020-03-14,1.6,89,11919
83,101 2br tokyo★metro nearby★ueno & asakusa,23595333,Taito Ku,35.71043,139.78519,Entire home/apt,4,4,2020-03-04,1.11,130,13957
84,Tokyo Ueno Kiwami  Hotel (東京一番ｰ極ﾎﾃﾙ),282023368,Taito Ku,35.70398,139.78403,Entire home/apt,2,2,2020-01-01,0.21,340,19145
85,Shinjuku Central Park Apartment 102,68828017,Shinjuku Ku,35.68469,139.6905,Entire home/apt,2,13,2020-03-17,1.73,344,31002
86,"8min to Sta.Near Tokyo Tower, Free Pocket WiFi",240100147,Minato Ku,35.665690000000005,139.73647,Entire home/apt,2,52,2020-04-18,2.98,175,8951
87,Near Nakano Shinbashi Station / bunk bed /2p,340144167,Nakano Ku,35.68779,139.67525,Private room,1,9,2020-02-22,1.15,117,5037
88,So convenient All in 3minutes!wi-fi,133671637,Itabashi Ku,35.78457,139.67793,Entire home/apt,3,102,2020-01-20,2.41,174,4497
89,[Akasaka Station 3 min / Akasaka Mitsuke Station 2,239049998,Minato Ku,35.67681,139.73603,Shared room,1,1,2020-03-31,1.0,64,4490
90,!!!Summer SALE!!!♪ Ikebukuro Brilliant IK1- 201,120507923,Toshima Ku,35.73748,139.71456,Entire home/apt,1,41,2020-03-26,1.95,0,19816
91,#203★3min to the nearest station♪Ikebukuro 13 min,109923907,Itabashi Ku,35.74873,139.7091,Entire home/apt,1,13,2020-02-29,1.96,361,6977
92,Only 3min to starting station♪Private Room☆G34-10,207693509,Adachi Ku,35.81566,139.76978,Private room,30,8,2019-12-03,0.21,83,1161
93,4mins Sta in Ueno Area Free wifi 4ppl 402,58103809,Taito Ku,35.70859,139.77858,Entire home/apt,13,0,,,245,39653
94,Convenient location!  Ikebukuro 15min walk!,312991807,Toshima Ku,35.7306,139.7235,Entire home/apt,1,3,2019-08-28,0.24,364,10039
95,Near shinjuku /Convenient  area/ Free WiFi!!/VD105,251244607,Shinjuku Ku,35.70783,139.73462,Entire home/apt,2,0,,,353,100126
96,ASAKUSA - 8F/3 bedrooms/max 12 ppl/6min to station,225196905,Taito Ku,35.71481,139.80038000000002,Entire home/apt,2,100,2020-02-03,2.47,177,30365
97,BC for women only [Business-class cabin],145655236,Chuo Ku,35.69191,139.78313,Private room,1,2,2020-01-02,0.37,0,4005
98,FF52/15min walk to Asakusa/4min to Akihabara/Wi-Fi,125996345,Sumida Ku,35.70058,139.80049,Entire home/apt,1,20,2020-02-18,2.94,25,49787
99,Cross Culture Community,206537226,Toshima Ku,35.72798,139.6897,Private room,1,0,,,6,34976
100,"②IR12 Metro station 8-min walk, downtown apartment",25523994,Taito Ku,35.72126,139.79152,Entire home/apt,1,4,2020-02-19,1.03,63,8566
101,GoodAccessTokyoUeno/SpaciousHouse/FreeWifi/033,207114839,Katsushika Ku,35.78583,139.89654,Entire home/apt,1,1,2020-04-19,1.0,179,7991
102,Yoyo's G.H.★浅草寺商圈/两室一厅/秋葉原･上野交通方便/成田･羽田机场直达站/最大8人★,22102532,Taito Ku,35.718509999999995,139.79564,Entire home/apt,1,29,2020-01-14,1.72,125,14531
103,Skytree New-Decorated room/Airport Directly II-402,291201242,Sumida Ku,35.70669,139.81437,Entire home/apt,3,8,2020-03-11,2.24,240,10653
104,立地最高｡交通･買い物にとっても便利｡112,35183712,Shinjuku Ku,35.69871,139.70506,Private room,2,17,2020-02-11,2.24,44,7776
105,4 min to Shinjuku Sta. by train! MAX 12 ppl !,44839765,Shinjuku Ku,35.69166,139.68555,Entire home/apt,1,46,2020-04-22,2.83,94,14923
106,Fashionable apartment close TOKYO SKYTREE  2-3,20240186,Koto Ku,35.7028,139.82033,Hotel room,1,38,2020-04-19,2.27,270,5993
107,Syouryu-Itabashi201,224952842,Kita Ku,35.74517,139.72327,Entire home/apt,1,18,2020-02-24,2.12,35,5921
108,5F20【Women only】5 min to Ueno sta./ capsule hotel,188123234,Taito Ku,35.71338,139.78191,Hotel room,1,4,2019-09-25,0.4,286,49798
109,Asakusa P2 (1 minute to MRT Ginza Line G-18 Sta.),230910892,Taito Ku,35.70989,139.78991000000002,Entire home/apt,3,42,2019-12-26,2.48,161,15611
110,Cozy tamami twin futon room in Shinjuku,149645803,Shinjuku Ku,35.70069,139.69598,Private room,1,5,2019-11-02,0.3,86,2544
111,New☆MAX6/Sirokane/Shibuya 10mins/Bright room/47㎡,101683760,Minato Ku,35.64583,139.73203,Entire home/apt,1,12,2020-03-04,2.93,61,24997
112,Shibuya 4min|Max4|☆DirectNarita☆|WIFI|902,116205382,Shibuya Ku,35.65808,139.69732,Entire home/apt,1,45,2020-04-15,2.73,189,18143
113,"@17[SHINJUKU 5mins]  Hotel SHU , 2guests ,wifi,",322000590,Shinjuku Ku,35.69269,139.7125,Entire home/apt,1,4,2020-01-25,0.47,42,10339
114,朧月苑201NEW OPEN/IKEBUKURO/FREE WIFI/MAX 11 GUESTS,122813663,Toshima Ku,35.7241,139.69227,Entire home/apt,1,11,2020-03-14,2.68,107,19664
115,Cozy private space! Deluxe room with private bath for premium moments ! A 10-minute walk from Akihabara!,239462499,Chiyoda Ku,35.69656,139.78032,Private room,1,6,2019-06-02,0.28,213,20037
116,Yuki (Mixed Dormitory) - Yadoya Guesthouse Orange,281759994,Nakano Ku,35.70605,139.66884,Shared room,1,9,2019-04-21,0.37,0,2419
117,plan Non-smoking Twin room with tower view,1160146,Minato Ku,35.65807,139.75686000000002,Private room,1,0,,,141,19987
118,5F18【Women only】5 min to Ueno sta./ capsule hotel,188123234,Taito Ku,35.71548,139.78163999999998,Hotel room,1,1,2019-12-16,0.22,286,50112
119,SHIBUYA Sta. 8min! WACLASS SHIBUYA 25㎡ B13,211461846,Shibuya Ku,35.65608,139.69654,Hotel room,30,75,2019-04-17,1.84,325,9765
120,"【新房特价】山手线日暮里站步行5分,新宿池袋银座涉谷直达,成田机场直达,和风榻榻米(R302)",158508230,Arakawa Ku,35.728590000000004,139.77895,Entire home/apt,1,2,2020-02-21,0.54,181,7954
121,"【新房特价】山手线日暮里站步行5分,新宿池袋银座涉谷秋叶原上野直达,成田机场直达(R401)",158508230,Arakawa Ku,35.72955,139.7754,Entire home/apt,1,1,2020-02-13,0.39,167,8068
122,"NN42-2Bed rms,5 mins to station Akihabara,Asakusa",51517847,Taito Ku,35.70368,139.78553,Entire home/apt,1,17,2020-01-07,1.64,269,12424
123,Shibuya sta 9 min on foot Max 9 ppl,249639978,Shibuya Ku,35.6583,139.69488,Entire home/apt,1,103,2020-03-24,6.23,354,47766
124,"LOCAL Tokyo life! 2 tatami rooms, 3min train Sta✋",339768828,Adachi Ku,35.745059999999995,139.80832,Entire home/apt,1,3,2019-10-14,0.26,0,12983
125,"匯家 KAIKE Akabane 赤羽整租3间 步行5分到地铁 10分可达池袋,上野,新宿",256359722,Kita Ku,35.77883,139.72554,Private room,1,2,2020-01-03,0.37,0,21035
126,No.1泊露SKYTREE 渋谷 雷門   銀座 成田 羽田 直达|中文房东,230156826,Sumida Ku,35.71199,139.817,Entire home/apt,1,1,2019-12-21,0.23,180,7943
127,Central of TOKYO!! Close to train Sta 8-2h,260508434,Chuo Ku,35.67135,139.77254,Entire home/apt,1,20,2020-04-27,1.99,365,100005
128,【102】4min to Kita-Shinagawa Sta./FREE WIFI&Netflix,208235672,Shinagawa Ku,35.62021,139.74258,Entire home/apt,1,3,2020-04-15,1.45,229,7472
129,[彩-Sai- 6F]- 2-min walk to Tawaramachi Sta./Wifi/TopFloor  Asakusa/Skytree/Kaminarimon/,47363530,Taito Ku,35.71049,139.78988,Entire home/apt,1,60,2020-02-20,2.7,170,19122
130,WACLASS NIPPORI 25㎡ Studio ★ Ueno park 15min B3,141635738,Arakawa Ku,35.72531,139.78081,Entire home/apt,30,7,2020-04-04,0.37,237,7360
131,NakanoApartment / 2mins to station / Near SHINJUKU,53382064,Nakano Ku,35.69223,139.67648,Entire home/apt,3,2,2020-03-01,0.67,89,3009
132,Asakusa/2min Bus Stop/Cozy room/PocketWiFi#cnt201,97872282,Taito Ku,35.72267,139.79263999999998,Entire home/apt,2,17,2020-03-17,3.57,364,2430
133,6min Akabane stiation/Free wifi/max 6 guests #302,103330095,Kita Ku,35.77473,139.71988000000002,Entire home/apt,1,27,2020-01-28,2.24,0,11016
134,Welcoming Apt near Asakusa 3minSTA +WiFi,78391541,Taito Ku,35.69804,139.78868,Entire home/apt,2,164,2020-03-01,4.13,176,11226
135,New open! Happy House E-1☆Shinjuku☆3 min station☆,120667824,Shinjuku Ku,35.6858,139.71713,Shared room,1,25,2020-01-28,1.85,167,1761
136,DoMo A 202 Nishi Shinjuku,138109993,Shinjuku Ku,35.69645,139.69489,Entire home/apt,1,50,2020-03-29,1.35,186,11935
137,#A Ikebukuro 14min by walk!Kanamecho station 2min,76116303,Toshima Ku,35.73534,139.69627,Entire home/apt,3,27,2020-01-04,1.42,148,5461
138,池袋3分钟;新宿6分钟;涩谷13分钟 高级别墅;Free WIFI,253243684,Toshima Ku,35.72016,139.71594,Entire home/apt,2,0,,,91,29814
139,PEGASUS HOTEL (Japanese room) 402,196519476,Taito Ku,35.69608,139.78578000000002,Private room,1,0,,,180,9865
140,4 Beds Room@Family & bAKpAK Tokyo Hostel,19615511,Taito Ku,35.7233,139.79223000000002,Hotel room,2,0,,,3,14010
141,BRAND NEW COZY APARTMENT! JR LINE-Near Asakusa #2,39017078,Sumida Ku,35.71053,139.83552,Entire home/apt,3,1,2020-01-06,0.26,241,9976
142,ASS403 / WiFi / Apt pickup  / Free Stroller & Cot,31615733,Sumida Ku,35.707440000000005,139.80338,Entire home/apt,2,2,2020-04-08,2.0,322,10068
143,SHIBUYA URBAN AREA 5min to Sta. Good For Solo,237334997,Shibuya Ku,35.66565,139.67768999999998,Private room,2,16,2020-03-15,1.12,236,6166
144,Avian Tateishi / 5 Bedroom/WiFi/ Free Stroller Bed,31615733,Katsushika Ku,35.738170000000004,139.846,Entire home/apt,2,2,2020-03-29,1.46,354,23950
145,RJ901/NEW!50%OFF! UENOarea.4mins fr sta.6pax/wifi,162332140,Taito Ku,35.70879,139.77783,Entire home/apt,1,23,2020-03-31,4.16,257,49830
146,Shinjuku and Akihabara  9 min By Train!  In Tokyo!,63292658,Shinjuku Ku,35.69397,139.73488999999998,Private room,2,31,2019-12-16,0.98,90,7550
147,Shin-Ōkubo Station 10min/Cozy&Clean/Free-Wifi,339768828,Shinjuku Ku,35.70264,139.70519,Private room,1,8,2020-02-25,1.28,252,7153
148,"Uhome Asakusabashi Apartment 3F, max 11, 75m2",165921683,Taito Ku,35.701440000000005,139.78262,Entire home/apt,1,10,2020-01-22,1.27,180,900387
149,tatami room/wifi coverage/fully equipped,219973669,Itabashi Ku,35.76238,139.69968,Entire home/apt,1,14,2020-02-12,1.32,156,6014
150,1min to Sensoji Temple(浅草寺)! 5ppl PRIVATE ROOM/5B,157442073,Taito Ku,35.717,139.79627,Private room,1,3,2019-03-01,0.14,272,22850
151,NEW/1 min station/Great location/Quiet/Free Wi-Fi,325835081,Shinagawa Ku,35.632670000000005,139.71538,Entire home/apt,1,15,2020-04-23,1.79,357,60040
152,▲New ‼Ikebukuro Sta.Free WiFi!Near Shinjuku･Ginza△,126434559,Toshima Ku,35.73079,139.72051000000002,Entire home/apt,1,13,2020-03-30,1.64,34,14051
153,"Large Harajuku House: Shopping, Fun, Fashion St.!",202650064,Shibuya Ku,35.66713,139.7053,Entire home/apt,1,3,2019-10-04,0.25,279,27859
154,匯家 KAIKE 浅草 双人背包客 sensoji 10mins 短期开放4,213268738,Taito Ku,35.72081,139.7989,Private room,3,0,,,0,3713
155,New open/Japanese Traditional Villa,177290475,Edogawa Ku,35.70775,139.83876999999998,Entire home/apt,1,131,2020-03-06,3.08,168,11994
156,ｳｨｰｸﾘｰﾏﾝｽﾘｰ特別価格♦JR山手線鶯谷駅徒歩7分♦家電ｷｯﾁﾝ完備のﾍﾟﾝﾄﾊｳｽ,75530047,Arakawa Ku,35.72705,139.77948999999998,Entire home/apt,7,0,,,160,20008
157,【绮绮の小屋203】 新建公寓/高档记忆棉床垫/JR车站/直通东京､新宿､秋叶原､成田机场､迪斯尼,242815705,Edogawa Ku,35.71061,139.85826,Entire home/apt,1,0,,,90,9956
158,RY52/15min walk to Asakusa/4min to Akihabara/Wi-Fi,125996345,Sumida Ku,35.70058,139.80049,Entire home/apt,1,15,2019-09-23,1.41,0,49900
159,Shin-Ōkubo Station 10min/Cozy&Clean/Free-Wifi,339768828,Shinjuku Ku,35.708459999999995,139.71241,Private room,1,3,2020-01-22,0.48,259,6499
160,3BEDS PRIVATE! W/SHOWER&TOILET/FREE WIFI/3B,34622264,Taito Ku,35.71308,139.79095,Private room,1,11,2020-01-01,0.43,84,15054
161,"""HirooHouse"",3Rm, 6 guests, 2minWalk/HIROO Stn.",283157058,Shibuya Ku,35.65117,139.72026,Entire home/apt,3,117,2020-01-26,1.64,0,25926
162,ACT Stage,171401706,Shinjuku Ku,35.69356,139.70831,Entire home/apt,1,32,2020-04-05,3.1,91,28759
163,Central of TOKYO!! Close to train Sta 3-2h,260508434,Chuo Ku,35.67276,139.77293999999998,Entire home/apt,1,12,2020-03-16,1.19,365,100036
164,-ｺﾝﾊﾞｰﾃﾙ東馬込-馬込駅徒歩3分‼3階建て一軒家貸し切り/最大8名収容,20240186,Ota Ku,35.5948,139.71528999999998,Entire home/apt,2,0,,,53,20056
165,20%off Shinjuku 5minute/whole house for rent 190m2,164598440,Nakano Ku,35.7038,139.6623,Entire home/apt,1,12,2020-02-08,1.42,271,59995
166,36★COZY ROOM CENTRAL TOKYO.JR IKEBUKURO 7 MIN WALK,228327679,Toshima Ku,35.7354,139.70686,Entire home/apt,1,1,2019-10-31,0.17,132,6775
167,浅草402 Sensoji/SkyTree/雷門 on foot!!,178158779,Taito Ku,35.71588,139.79853,Entire home/apt,2,33,2020-02-11,2.13,180,14573
168,7min Sta. Easy to Shinjuku - cozy room#401,261941361,Shinjuku Ku,35.70597,139.74034,Entire home/apt,2,68,2020-03-16,2.63,365,5380
169,New Clean Flat Easy Access to Shibuya ④,20240186,Setagaya Ku,35.64208,139.66446000000002,Entire home/apt,1,14,2020-04-12,0.78,21,7981
